Institution Name,State
Eastern Connecticut State University,CT
Brescia University,KY
Hamilton College,NY
East Tennessee State University,TN
Bluffton University,OH
SUNY Brockport,NY
Cincinnati State Technical and Community College,OH
West Liberty University,WV
Strayer University-West Virginia,WV
Heidelberg University,OH
Pace University,NY
William Peace University,NC
Curry College,MA
Brookline College-Albuquerque,NM
Oglethorpe University,GA
Assumption University,MA
Southern California Seminary,CA
Lycoming College,PA
Eagle Gate College-Murray,UT
